2024-10-02 16:03:41,346 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace2024\proyectomavenGitSemana4\ProyectoJPAMavenMiercolesTarde\src\test\resources
2024-10-02 16:11:06,485 [Worker-58] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-10-02 16:11:06,877 [Worker-58] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.farmacia:ProyectoJPAMavenMiercolesTarde:0.0.1-SNAPSHOT @ D:\workspace2024\proyectomavenGitSemana4\ProyectoJPAMavenMiercolesTarde\pom.xml.
2024-10-02 16:11:07,507 [Worker-58] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoJPAMavenMiercolesTarde/src/main/java
2024-10-02 16:11:07,507 [Worker-58] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ProyectoJPAMavenMiercolesTarde/src/main/resources
2024-10-02 16:11:07,508 [Worker-58] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoJPAMavenMiercolesTarde/src/test/java
2024-10-02 16:11:07,840 [Worker-58] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ProyectoJPAMavenMiercolesTarde
2024-10-02 16:11:07,843 [Worker-58] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2024-10-02 16:11:08,217 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-02 16:11:08,218 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-02 16:11:08,219 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-02 16:11:08,220 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace2024\proyectomavenGitSemana4\ProyectoJPAMavenMiercolesTarde\src\test\resources
2024-10-02 16:11:08,220 [Worker-70] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProyectoJPAMavenMiercolesTarde
2024-10-02 16:11:08,220 [Worker-70] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProyectoJPAMavenMiercolesTarde
2024-10-02 16:11:08,222 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-02 16:13:54,798 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-02 16:13:54,801 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-02 16:13:54,801 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-02 16:13:54,802 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\workspace2024\proyectomavenGitSemana4\ProyectoJPAMavenMiercolesTarde\src\test\resources
2024-10-02 16:17:34,546 [Worker-71] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maven.farmacia:ProyectoJPAMavenMiercolesTarde:0.0.1-SNAPSHOT @ D:\workspace2024\proyectomavenGitSemana4\ProyectoJPAMavenMiercolesTarde\pom.xml.
